,PopulationSize,ChromosomeLength,ElitismFactor,Iteration,GeneticIterations
0,2,8,10,0,227
1,2,8,10,1,508
2,2,8,10,2,1395
3,2,8,10,3,196
4,2,8,10,4,376
5,2,8,10,5,380
6,2,8,10,6,6
7,2,8,10,7,538
8,2,8,10,8,217
9,2,8,10,9,25
10,2,8,11,0,1706
11,2,8,11,1,245
12,2,8,11,2,209
13,2,8,11,3,17
14,2,8,11,4,488
15,2,8,11,5,201
16,2,8,11,6,1
17,2,8,11,7,579
18,2,8,11,8,311
19,2,8,11,9,446
20,2,8,12,0,360
21,2,8,12,1,412
22,2,8,12,2,1651
23,2,8,12,3,173
24,2,8,12,4,478
25,2,8,12,5,161
26,2,8,12,6,1538
27,2,8,12,7,1662
28,2,8,12,8,32
29,2,8,12,9,90
30,2,8,13,0,1411
31,2,8,13,1,853
32,2,8,13,2,430
33,2,8,13,3,855
34,2,8,13,4,160
35,2,8,13,5,1651
36,2,8,13,6,533
37,2,8,13,7,730
38,2,8,13,8,448
39,2,8,13,9,1684
40,2,8,14,0,233
41,2,8,14,1,475
42,2,8,14,2,706
43,2,8,14,3,365
44,2,8,14,4,1
45,2,8,14,5,360
46,2,8,14,6,433
47,2,8,14,7,86
48,2,8,14,8,269
49,2,8,14,9,254
50,2,8,15,0,515
51,2,8,15,1,283
52,2,8,15,2,417
53,2,8,15,3,333
54,2,8,15,4,732
55,2,8,15,5,280
56,2,8,15,6,472
57,2,8,15,7,292
58,2,8,15,8,558
59,2,8,15,9,300
60,2,8,16,0,187
61,2,8,16,1,53
62,2,8,16,2,10
63,2,8,16,3,203
64,2,8,16,4,45
65,2,8,16,5,509
66,2,8,16,6,91
67,2,8,16,7,1376
68,2,8,16,8,234
69,2,8,16,9,969
70,2,8,17,0,38
71,2,8,17,1,528
72,2,8,17,2,780
73,2,8,17,3,37
74,2,8,17,4,931
75,2,8,17,5,112
76,2,8,17,6,1584
77,2,8,17,7,224
78,2,8,17,8,288
79,2,8,17,9,410
80,2,8,18,0,130
81,2,8,18,1,803
82,2,8,18,2,195
83,2,8,18,3,284
84,2,8,18,4,457
85,2,8,18,5,177
86,2,8,18,6,145
87,2,8,18,7,25
88,2,8,18,8,1155
89,2,8,18,9,1130
90,2,8,19,0,42
91,2,8,19,1,81
92,2,8,19,2,87
93,2,8,19,3,651
94,2,8,19,4,383
95,2,8,19,5,773
96,2,8,19,6,333
97,2,8,19,7,188
98,2,8,19,8,270
99,2,8,19,9,145
100,2,9,10,0,1702
101,2,9,10,1,1917
102,2,9,10,2,86
103,2,9,10,3,47
104,2,9,10,4,140
105,2,9,10,5,652
106,2,9,10,6,2378
107,2,9,10,7,56
108,2,9,10,8,1781
109,2,9,10,9,231
110,2,9,11,0,618
111,2,9,11,1,1296
112,2,9,11,2,688
113,2,9,11,3,687
114,2,9,11,4,67
115,2,9,11,5,527
116,2,9,11,6,380
117,2,9,11,7,1080
118,2,9,11,8,187
119,2,9,11,9,144
120,2,9,12,0,1868
121,2,9,12,1,209
122,2,9,12,2,117
123,2,9,12,3,464
124,2,9,12,4,825
125,2,9,12,5,683
126,2,9,12,6,102
127,2,9,12,7,695
128,2,9,12,8,590
129,2,9,12,9,978
130,2,9,13,0,409
131,2,9,13,1,423
132,2,9,13,2,430
133,2,9,13,3,579
134,2,9,13,4,266
135,2,9,13,5,1810
136,2,9,13,6,98
137,2,9,13,7,454
138,2,9,13,8,1460
139,2,9,13,9,565
140,2,9,14,0,206
141,2,9,14,1,508
142,2,9,14,2,571
143,2,9,14,3,121
144,2,9,14,4,358
145,2,9,14,5,1569
146,2,9,14,6,768
147,2,9,14,7,1035
148,2,9,14,8,16
149,2,9,14,9,50
150,2,9,15,0,285
151,2,9,15,1,130
152,2,9,15,2,76
153,2,9,15,3,202
154,2,9,15,4,904
155,2,9,15,5,1054
156,2,9,15,6,417
157,2,9,15,7,486
158,2,9,15,8,83
159,2,9,15,9,166
160,2,9,16,0,683
161,2,9,16,1,527
162,2,9,16,2,561
163,2,9,16,3,212
164,2,9,16,4,4
165,2,9,16,5,57
166,2,9,16,6,270
167,2,9,16,7,760
168,2,9,16,8,117
169,2,9,16,9,1187
170,2,9,17,0,241
171,2,9,17,1,562
172,2,9,17,2,956
173,2,9,17,3,171
174,2,9,17,4,41
175,2,9,17,5,101
176,2,9,17,6,412
177,2,9,17,7,145
178,2,9,17,8,619
179,2,9,17,9,261
180,2,9,18,0,384
181,2,9,18,1,388
182,2,9,18,2,777
183,2,9,18,3,484
184,2,9,18,4,216
185,2,9,18,5,156
186,2,9,18,6,998
187,2,9,18,7,254
188,2,9,18,8,2511
189,2,9,18,9,63
190,2,9,19,0,837
191,2,9,19,1,1437
192,2,9,19,2,272
193,2,9,19,3,1804
194,2,9,19,4,5738
195,2,9,19,5,1269
196,2,9,19,6,307
197,2,9,19,7,1100
198,2,9,19,8,31
199,2,9,19,9,874
200,2,10,10,0,615
201,2,10,10,1,604
202,2,10,10,2,728
203,2,10,10,3,2970
204,2,10,10,4,1197
205,2,10,10,5,1562
206,2,10,10,6,1163
207,2,10,10,7,962
208,2,10,10,8,944
209,2,10,10,9,794
210,2,10,11,0,3872
211,2,10,11,1,184
212,2,10,11,2,3759
213,2,10,11,3,39
214,2,10,11,4,1114
215,2,10,11,5,1303
216,2,10,11,6,5385
217,2,10,11,7,326
218,2,10,11,8,3213
219,2,10,11,9,4791
220,2,10,12,0,3400
221,2,10,12,1,292
222,2,10,12,2,1441
223,2,10,12,3,143
224,2,10,12,4,1075
225,2,10,12,5,209
226,2,10,12,6,761
227,2,10,12,7,2612
228,2,10,12,8,918
229,2,10,12,9,70
230,2,10,13,0,414
231,2,10,13,1,159
232,2,10,13,2,2385
233,2,10,13,3,236
234,2,10,13,4,1897
235,2,10,13,5,409
236,2,10,13,6,1575
237,2,10,13,7,3065
238,2,10,13,8,1862
239,2,10,13,9,2330
240,2,10,14,0,1124
241,2,10,14,1,73
242,2,10,14,2,1223
243,2,10,14,3,743
244,2,10,14,4,2410
245,2,10,14,5,177
246,2,10,14,6,1202
247,2,10,14,7,2495
248,2,10,14,8,3154
249,2,10,14,9,57
250,2,10,15,0,466
251,2,10,15,1,370
252,2,10,15,2,992
253,2,10,15,3,1527
254,2,10,15,4,1428
255,2,10,15,5,1525
256,2,10,15,6,113
257,2,10,15,7,158
258,2,10,15,8,1177
259,2,10,15,9,199
260,2,10,16,0,681
261,2,10,16,1,725
262,2,10,16,2,3114
263,2,10,16,3,5178
264,2,10,16,4,938
265,2,10,16,5,1046
266,2,10,16,6,144
267,2,10,16,7,822
268,2,10,16,8,6281
269,2,10,16,9,4311
270,2,10,17,0,1418
271,2,10,17,1,2724
272,2,10,17,2,1130
273,2,10,17,3,3983
274,2,10,17,4,4896
275,2,10,17,5,1742
276,2,10,17,6,278
277,2,10,17,7,3694
278,2,10,17,8,944
279,2,10,17,9,570
280,2,10,18,0,5023
281,2,10,18,1,1076
282,2,10,18,2,694
283,2,10,18,3,530
284,2,10,18,4,332
285,2,10,18,5,300
286,2,10,18,6,3532
287,2,10,18,7,1618
288,2,10,18,8,363
289,2,10,18,9,61
290,2,10,19,0,564
291,2,10,19,1,1033
292,2,10,19,2,281
293,2,10,19,3,2009
294,2,10,19,4,1967
295,2,10,19,5,67
296,2,10,19,6,4502
297,2,10,19,7,2922
298,2,10,19,8,884
299,2,10,19,9,908
300,2,11,10,0,1322
301,2,11,10,1,4868
302,2,11,10,2,1152
303,2,11,10,3,1888
304,2,11,10,4,1469
305,2,11,10,5,292
306,2,11,10,6,3100
307,2,11,10,7,411
308,2,11,10,8,14
309,2,11,10,9,854
310,2,11,11,0,530
311,2,11,11,1,1917
312,2,11,11,2,4425
313,2,11,11,3,1920
314,2,11,11,4,2622
315,2,11,11,5,523
316,2,11,11,6,1396
317,2,11,11,7,2246
318,2,11,11,8,71
319,2,11,11,9,224
320,2,11,12,0,148
321,2,11,12,1,4176
322,2,11,12,2,735
323,2,11,12,3,676
324,2,11,12,4,3578
325,2,11,12,5,5066
326,2,11,12,6,624
327,2,11,12,7,374
328,2,11,12,8,628
329,2,11,12,9,66
330,2,11,13,0,3198
331,2,11,13,1,2046
332,2,11,13,2,3098
333,2,11,13,3,1523
334,2,11,13,4,2227
335,2,11,13,5,9177
336,2,11,13,6,11128
337,2,11,13,7,923
338,2,11,13,8,4953
339,2,11,13,9,125
340,2,11,14,0,2539
341,2,11,14,1,6148
342,2,11,14,2,6308
343,2,11,14,3,656
344,2,11,14,4,3900
345,2,11,14,5,1313
346,2,11,14,6,534
347,2,11,14,7,128
348,2,11,14,8,47
349,2,11,14,9,1226
350,2,11,15,0,1923
351,2,11,15,1,3537
352,2,11,15,2,1654
353,2,11,15,3,11627
354,2,11,15,4,64
355,2,11,15,5,4856
356,2,11,15,6,1208
357,2,11,15,7,2733
358,2,11,15,8,1401
359,2,11,15,9,5207
360,2,11,16,0,497
361,2,11,16,1,122
362,2,11,16,2,260
363,2,11,16,3,640
364,2,11,16,4,2061
365,2,11,16,5,1605
366,2,11,16,6,3486
367,2,11,16,7,1921
368,2,11,16,8,493
369,2,11,16,9,1078
370,2,11,17,0,4337
371,2,11,17,1,1170
372,2,11,17,2,7393
373,2,11,17,3,978
374,2,11,17,4,1158
375,2,11,17,5,5648
376,2,11,17,6,1090
377,2,11,17,7,1492
378,2,11,17,8,1755
379,2,11,17,9,4435
380,2,11,18,0,579
381,2,11,18,1,5015
382,2,11,18,2,2187
383,2,11,18,3,1322
384,2,11,18,4,2216
385,2,11,18,5,637
386,2,11,18,6,2880
387,2,11,18,7,3910
388,2,11,18,8,773
389,2,11,18,9,3397
390,2,11,19,0,948
391,2,11,19,1,1247
392,2,11,19,2,593
393,2,11,19,3,907
394,2,11,19,4,2606
395,2,11,19,5,1511
396,2,11,19,6,1731
397,2,11,19,7,1656
398,2,11,19,8,5397
399,2,11,19,9,511
400,2,12,10,0,1156
401,2,12,10,1,7155
402,2,12,10,2,4987
403,2,12,10,3,15834
404,2,12,10,4,1118
405,2,12,10,5,14209
406,2,12,10,6,5414
407,2,12,10,7,198
408,2,12,10,8,3681
409,2,12,10,9,841
410,2,12,11,0,2211
411,2,12,11,1,3855
412,2,12,11,2,182
413,2,12,11,3,8354
414,2,12,11,4,4428
415,2,12,11,5,166
416,2,12,11,6,926
417,2,12,11,7,525
418,2,12,11,8,3250
419,2,12,11,9,8307
420,2,12,12,0,3022
421,2,12,12,1,1266
422,2,12,12,2,7490
423,2,12,12,3,4423
424,2,12,12,4,2990
425,2,12,12,5,2325
426,2,12,12,6,5232
427,2,12,12,7,4103
428,2,12,12,8,178
429,2,12,12,9,1620
430,2,12,13,0,3256
